,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
181,Marvin Mims,DEN,WR,23,15,4,0,0,0,0,0,12,78,6.50,1,51,37,322,8.70,1,2,1,3,,,56,93.0,97.0,74.5,,72,,MimsMa00
182,Zonovan Knight,ARI,RB,24,12,8,0,0,0,0,0,82,269,3.28,4,31,22,160,7.27,1,1,1,5,,,71,92.9,99.9,81.9,,51,,KnigZo00
183,Tez Johnson,TAM,WR,23,16,8,0,0,0,0,0,7,22,3.14,0,44,28,322,11.50,5,0,0,5,,,64,92.4,95.4,78.4,,62,,JohnTe03
184,Kendrick Bourne,SFO,WR,30,16,8,0,0,0,0,0,0,0,,0,53,37,551,14.89,0,0,0,0,,,55,92.1,95.1,73.6,,74,,BourKe00
185,Chris Rodriguez,WAS,RB,25,13,7,0,0,0,0,0,112,500,4.46,6,4,3,30,10.00,0,0,0,6,,,89,92.0,95.0,90.5,,45,,RodrCh00
186,Gunnar Helm,TEN,TE,23,16,10,0,0,0,0,0,0,0,,0,55,44,357,8.11,2,0,0,2,,,48,91.7,94.7,69.7,,34,,HelmGu00
187,Sean Tucker,TAM,RB,24,17,0,0,0,0,0,0,86,320,3.72,7,11,8,34,4.25,1,2,0,8,,,83,91.4,94.4,87.4,,46,,TuckSe00
188,Jalen Coker,CAR,WR,24,11,3,0,0,0,0,0,0,0,,0,43,33,394,11.94,3,1,1,3,1,,57,90.4,94.4,73.9,,70,,CokeJa01
189,Andrei Iosivas,CIN,WR,26,17,9,0,0,0,0,0,3,14,4.67,0,58,33,435,13.18,2,0,0,2,,,57,89.9,92.9,73.4,,71,,IosiAn00
190,Xavier Legette,CAR,WR,24,15,12,0,0,0,0,0,1,0,0.00,0,64,35,363,10.37,3,1,0,3,,,54,89.3,92.3,71.8,,76,,LegeXa00
191,Mason Taylor,NYJ,TE,21,13,11,0,0,0,0,0,0,0,,0,65,44,369,8.39,1,0,0,1,1,,45,88.9,91.9,66.9,,37,,TaylMa02
192,Darren Waller,MIA,TE,33,9,3,0,0,0,0,0,1,4,4.00,0,34,24,283,11.79,6,0,0,6,,,65,88.7,91.7,76.7,,27,,WallDa01
193,Bhayshul Tuten,JAX,RB,22,15,0,0,0,0,0,0,83,307,3.70,5,14,10,79,7.90,2,2,1,7,,,79,88.6,92.6,83.6,,48,,TuteBh00
194,Ricky Pearsall,SFO,WR,25,9,9,0,0,0,0,0,2,-2,-1.00,0,53,36,528,14.67,0,0,0,0,,,53,88.6,91.6,70.6,,77,,PearRi00
195,Nick Chubb,HOU,RB,30,15,9,0,0,0,0,0,122,506,4.15,3,20,13,67,5.15,0,0,0,3,,,75,88.3,91.3,81.8,,50,,ChubNi00
196,Dylan Sampson,CLE,RB,21,15,2,0,0,0,0,0,65,175,2.69,0,40,33,271,8.21,2,1,1,2,,,55,87.6,94.6,71.1,,57,,SampDy00
197,Isiah Pacheco,KAN,RB,26,13,12,0,0,0,0,0,118,462,3.92,1,26,19,101,5.32,1,0,0,2,,,68,87.3,93.3,77.8,,52,,PachIs00
198,David Njoku,CLE,TE,29,12,11,0,0,0,0,0,0,0,,0,48,33,293,8.88,4,0,0,4,,,53,86.3,89.3,69.8,,31,,NjokDa00
199,Calvin Austin III,PIT,WR,26,14,7,0,0,0,0,0,0,0,,0,55,31,372,12.00,3,0,0,3,,,55,86.2,89.2,70.7,,73,,AustCa00
200,Jonnu Smith,PIT,TE,30,17,7,0,0,0,0,0,9,70,7.78,1,54,38,222,5.84,2,1,0,3,,,47,85.2,88.2,66.2,,35,,SmitJo01
201,Shedeur Sanders*,CLE,QB,23,8,7,120,212,1400,7,10,21,169,8.05,1,0,0,0,,0,2,1,1,,,85,84.9,101.9,94.9,,37,,SandSh00
202,Mike Evans,TAM,WR,32,8,8,0,0,0,0,0,0,0,,0,62,30,368,12.27,3,0,0,3,,,55,84.8,87.8,69.8,,75,,EvanMi00
203,Olamide Zaccheaus,CHI,WR,28,16,5,0,0,0,0,0,4,25,6.25,0,65,39,313,8.03,2,0,0,2,,,46,84.8,87.8,65.3,,82,,ZaccOl01
204,KaVontae Turpin*,DAL,WR,29,15,2,0,0,0,0,0,17,89,5.24,0,38,26,396,15.23,2,1,1,2,,,59,84.5,88.5,71.5,,69,,TurpKa00
205,Chris Godwin,TAM,WR,29,9,6,0,0,0,0,0,0,0,,0,51,33,360,10.91,2,0,0,2,1,,50,83.0,86.0,66.5,,80,,GodwCh00
206,Darnell Mooney,ATL,WR,28,15,15,0,0,0,0,0,0,0,,0,72,32,443,13.84,1,2,0,1,,,50,82.3,85.3,66.3,,79,,MoonDa00
207,Sterling Shepard,TAM,WR,32,13,2,0,0,0,0,0,4,19,4.75,0,53,39,371,9.51,1,1,1,1,,,43,82.0,86.0,62.5,,86,,ShepSt00
208,Tyquan Thornton,KAN,WR,25,14,4,0,0,0,0,0,0,0,,0,37,19,438,23.05,3,0,0,3,,,62,80.8,83.8,71.3,,65,,ThorTy00
209,Cole Kmet,CHI,TE,26,16,15,0,1,0,0,0,0,0,,0,48,30,347,11.57,2,0,0,2,1,,49,78.7,81.7,63.7,,33,,KmetCo00
210,Samaje Perine,CIN,RB,30,15,2,0,0,0,0,0,84,382,4.55,3,21,17,87,5.12,0,3,2,3,,,61,77.9,82.9,69.4,,56,,PeriSa00
211,Kyler Murray,ARI,QB,28,5,5,110,161,962,6,3,29,173,5.97,1,0,0,0,,0,1,1,1,,,78,77.8,87.8,80.8,,38,,MurrKy00
212,Isaac TeSlaa,DET,WR,23,17,3,0,0,0,0,0,0,0,,0,27,16,239,14.94,6,0,0,6,,,60,75.9,78.9,67.9,,68,,TeSlIs00
213,Dontayvion Wicks,GNB,WR,24,14,7,0,0,0,0,0,1,6,6.00,0,46,30,332,11.07,2,0,0,2,,,46,75.8,78.8,60.8,,83,,WickDo00
214,Greg Dortch,ARI,WR,27,12,3,0,0,0,0,0,7,15,2.14,1,33,29,206,7.10,3,1,0,4,,,46,75.1,78.1,60.6,,81,,DortGr01
215,Pat Bryant,DEN,WR,23,15,7,0,0,0,0,0,0,0,,0,49,31,378,12.19,1,0,0,1,,,44,74.8,77.8,59.3,,85,,BryaPa00
216,Noah Fant,CIN,TE,28,15,7,0,0,0,0,0,0,0,,0,41,34,288,8.47,3,3,3,3,,,41,74.8,80.8,57.8,,41,,FantNo00
217,Michael Mayer,LVR,TE,24,13,12,0,0,0,0,0,0,0,,0,50,35,328,9.37,1,1,0,1,,,39,73.8,76.8,56.3,,44,,MayeMi00
218,JuJu Smith-Schuster,KAN,WR,29,17,12,0,0,0,0,0,0,0,,0,45,33,345,10.45,1,0,0,1,,,41,73.5,76.5,57.0,,92,,SmitJu00
219,Darnell Washington,PIT,TE,24,16,13,0,0,0,0,0,0,0,,0,43,31,364,11.74,1,2,1,1,1,,42,73.4,77.4,57.9,,39,,WashDa03
220,Jeremy McNichols,WAS,RB,30,17,1,0,0,0,0,0,44,221,5.02,1,31,25,196,7.84,0,1,1,1,1,,48,72.7,79.7,60.2,,61,,McNiJe00
221,Isaiah Davis,NYJ,RB,23,16,0,0,0,0,0,0,43,236,5.49,1,28,21,186,8.86,0,0,0,1,1,,50,71.2,77.2,60.7,,60,,DaviIs00
222,Tyler Higbee,LAR,TE,32,10,8,0,0,0,0,0,0,0,,0,36,25,281,11.24,3,0,0,3,,,46,71.1,74.1,58.6,,36,,HigbTy00
223,Mike Gesicki,CIN,TE,30,13,2,0,0,0,0,0,0,0,,0,42,28,307,10.96,2,0,0,2,,,43,70.7,73.7,56.7,,38,,GesiMi00
224,Carson Wentz,MIN,QB,33,5,5,110,169,1216,6,5,11,57,5.18,0,0,0,0,,0,3,0,0,,1,70,70.3,78.3,75.3,,39,,WentCa00
225,Dillon Gabriel,CLE,QB,25,10,6,110,185,937,7,2,14,86,6.14,0,0,0,0,,0,0,0,0,,,70,70.1,75.1,72.1,,40,,GabrDi00
226,Matthew Golden,GNB,WR,22,14,5,0,0,0,0,0,10,49,4.90,0,44,29,361,12.45,0,0,0,0,,,41,70.0,73.0,55.5,,90,,GoldMa02
227,Van Jefferson,TEN,WR,29,16,7,0,0,0,0,0,0,0,,0,52,29,350,12.07,1,0,0,1,,,41,70.0,73.0,55.5,,91,,JeffVa00
